"day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS","z_score"
5,2019,5,1,2019-05-01,46.9,39.2,1030,10,4.7,8.9,NA,55,39.9,0,0,599,0.657345488774915
4,2017,5,9,2017-05-09,48.3,34.9,1014.8,10,6.2,8.9,NA,55,39.9,0,0,651,0.980139654792777
4,2015,10,27,2015-10-27,46.7,36.2,1034.1,10,5.9,8.9,NA,57,36,0,0,631,0.855988052478215
5,2013,11,6,2013-11-06,46.5,41.4,1030.4,10,3.7,8.9,NA,57,36,0,0,635,0.880818372941127
2,2014,5,25,2014-05-25,53.7,44.4,1018.2,10,5.4,8.9,NA,59,48,0,0,472,-0.131017185922558
3,2013,4,29,2013-04-29,49.7,37.9,1025.5,9.9,4.3,8.9,NA,59,39.9,0,0,598,0.651137908659187
6,2012,10,25,2012-10-25,58,51.3,1023.9,10,3,8.9,NA,61,43,0,0,511,0.111078438590839
5,2016,11,9,2016-11-09,51.6,46.1,1009.9,8.8,4.6,8.9,NA,61,39,0,1,541,0.297305842062683
3,2013,5,6,2013-05-06,49.2,43.4,1024.3,5.1,5.5,8.9,NA,61,44.1,0,1,561,0.421457444377246
5,2016,10,12,2016-10-12,52.8,46.7,1028.3,10,5.2,8.9,NA,63,42.1,0,0,498,0.0303798970863735
6,2019,4,25,2019-04-25,47.7,40.9,1013.3,9.9,5.6,8.9,NA,66,39.9,0.02,0,518,0.154531499400936
6,2016,10,6,2016-10-06,57.3,50.9,1025.6,10,5.8,8.9,NA,66,48.9,0,0,764,1.68159620787006
4,2019,8,27,2019-08-27,60.4,54.5,1019.4,10,4.7,8.9,NA,70,50,0,0,529,0.222814880673946
1,2018,6,30,2018-06-30,71.1,65.4,1015.8,10,5.9,8.9,NA,82,62.1,0,0,651,0.980139654792777
1,2015,8,22,2015-08-22,73.9,71.1,1017.2,4.8,6,8.9,NA,82,70,0,1,581,0.545609046691808
2,2018,6,17,2018-06-17,66.7,56.6,1017.7,10,6,8.9,NA,82,54,0,0,627,0.831157732015302
4,2015,7,21,2015-07-21,72.6,69.7,1003.7,3.6,5.4,8.9,NA,82,68,0,1,606,0.700798549585012
6,2017,8,3,2017-08-03,67.5,66,1020.6,9.1,5.8,8.9,NA,75,61,0,1,713,1.36500962196792
